,ABS_MARGIN_MAX,ABS_MARGIN_AVG,ABS_MARGIN_SUM,geo,country,SUBGROUP,Predicted
0,6572729,125362,58947687,AP        ,IN              ,XLARGE,3
1,3934183,44128,18886274,AP        ,KR              ,XLARGE,1
2,777781,28931,9419587,AP        ,TW              ,LARGE,4
3,648627,17106,4235393,AP        ,HK              ,LARGE,0
4,737064,65372,6994830,AP        ,ID              ,LARGE,4
5,704324,61652,7201945,AP        ,MY              ,LARGE,4
6,424142,30656,5350459,AP        ,SG              ,MEDIUM,4
7,730088,49134,7128123,AP        ,TH              ,LARGE,4
8,319943,61068,1190710,AP        ,MO,SMALL,0
9,372537,41577,4242358,AP        ,PH              ,MEDIUM,0
10,126215,15049,1219461,AP        ,VN,SMALL,0
11,430749,140556,1211007,AP        ,BD,MEDIUM,4
12,91246,30005,120019,AP        ,KH,SMALL,0
13,87044,16832,224629,AP        ,NP,SMALL,0
14,1654831,73500,19774285,CE        ,RU              ,XLARGE,1
15,800147,44603,7883080,CE        ,CZ              ,LARGE,4
16,977427,65545,21433995,CE        ,PL              ,LARGE,1
17,846875,79352,2379045,CE        ,BG              ,MEDIUM,4
18,910822,61847,9450030,CE        ,HR              ,MEDIUM,4
19,722552,59388,8312540,CE        ,HU              ,LARGE,4
20,431949,59588,2500053,CE        ,RO              ,MEDIUM,0
21,254220,44422,1262961,CE        ,SK              ,SMALL,0
22,505464,37617,6333172,CE        ,SI              ,MEDIUM,4
23,362669,89059,2478883,CE        ,UA              ,MEDIUM,4
24,405907,97300,1016164,CE        ,AZ              ,XSMALL,4
25,305100,35026,626334,CE        ,LV              ,SMALL,0
26,150653,13818,670568,CE        ,LT              ,SMALL,0
27,697480,209852,3533442,CE        ,UZ              ,LARGE,2
28,68880,24048,165077,CE        ,BY              ,XSMALL,0
29,112455,12522,272708,CE        ,BA              ,XSMALL,0
30,87824,28093,153419,CE        ,EE              ,XSMALL,0
31,38580,17834,64933,CE        ,KG              ,XSMALL,0
32,3845983,184260,23485651,EA        ,SA              ,XLARGE,2
33,1072903,77663,44189001,EA        ,ZA              ,LARGE,1
34,792083,57726,9131436,EA        ,TR              ,LARGE,4
35,832434,63560,20593657,EA        ,AE              ,LARGE,1
36,478389,60047,7892985,EA        ,EG              ,MEDIUM,4
37,907588,179339,12479465,EA        ,KE              ,MEDIUM,2
38,766000,71201,6885912,EA        ,KW              ,MEDIUM,4
39,324048,35661,1208561,EA        ,MA              ,SMALL,0
40,1706818,261652,20718879,EA        ,NG              ,XLARGE,2
41,543485,60442,4812799,EA        ,OM              ,MEDIUM,4
42,469117,42897,7347196,EA        ,PK              ,MEDIUM,4
43,2039000,113000,17934786,EA        ,QA              ,XLARGE,1
44,1293775,121908,8821530,EA        ,DZ              ,LARGE,4
45,540185,119852,1840000,EA        ,AO              ,MEDIUM,4
46,119709,19931,866804,EA        ,BH              ,SMALL,0
47,465843,50458,5654473,EA        ,JO              ,MEDIUM,4
48,218821,61616,1581021,EA        ,TN              ,SMALL,0
49,296913,79541,541760,EA        ,BW              ,MEDIUM,4
50,92200,44527,267705,EA        ,BF              ,XSMALL,0
51,192038,63461,1523059,EA        ,ET              ,SMALL,0
52,49980,22684,119642,EA        ,ML              ,XSMALL,0
53,75706,21647,520981,EA        ,TZ              ,XSMALL,0
54,137490,43797,1070990,EA        ,ZW              ,SMALL,0
55,1121886,52601,35974908,EP        ,IT              ,XLARGE,1
56,218658,38118,1594923,EP        ,GR              ,MEDIUM,0
57,4946683,65175,117059545,GC,CN              ,XLARGE,3
58,901772,49120,4097594,LA        ,AR              ,MEDIUM,0
59,1822567,82280,27202219,LA        ,BR              ,XLARGE,1
60,234676,43418,822120,LA        ,CL              ,MEDIUM,0
61,749399,41303,5555170,LA        ,CO              ,LARGE,4
62,523897,48441,2715441,LA        ,MX              ,LARGE,0
63,182827,28711,539307,LA        ,EC              ,LARGE,0
64,146433,23140,418522,LA        ,PE              ,MEDIUM,0
65,154960,33289,988035,LA        ,UY              ,MEDIUM,0
66,182158,36182,488439,LA        ,CR              ,MEDIUM,0
67,237508,38116,276096,LA        ,SV              ,MEDIUM,0
68,42804,6151,115075,LA        ,GT              ,SMALL,0
69,45957,14869,89214,LA        ,PA              ,SMALL,0
