ABS_MARGIN_MAX,ABS_MARGIN_AVG,ABS_MARGIN_SUM,geo,country,SUBGROUP
6572729,125362,58947687,AP        ,IN              ,XLARGE
3934183,44128,18886274,AP        ,KR              ,XLARGE
777781,28931,9419587,AP        ,TW              ,LARGE
648627,17106,4235393,AP        ,HK              ,LARGE
737064,65372,6994830,AP        ,ID              ,LARGE
704324,61652,7201945,AP        ,MY              ,LARGE
424142,30656,5350459,AP        ,SG              ,MEDIUM
730088,49134,7128123,AP        ,TH              ,LARGE
319943,61068,1190710,AP        ,MO,SMALL
372537,41577,4242358,AP        ,PH              ,MEDIUM
126215,15049,1219461,AP        ,VN,SMALL
430749,140556,1211007,AP        ,BD,MEDIUM
91246,30005,120019,AP        ,KH,SMALL
87044,16832,224629,AP        ,NP,SMALL
1654831,73500,19774285,CE        ,RU              ,XLARGE
800147,44603,7883080,CE        ,CZ              ,LARGE
977427,65545,21433995,CE        ,PL              ,LARGE
846875,79352,2379045,CE        ,BG              ,MEDIUM
910822,61847,9450030,CE        ,HR              ,MEDIUM
722552,59388,8312540,CE        ,HU              ,LARGE
431949,59588,2500053,CE        ,RO              ,MEDIUM
254220,44422,1262961,CE        ,SK              ,SMALL
505464,37617,6333172,CE        ,SI              ,MEDIUM
362669,89059,2478883,CE        ,UA              ,MEDIUM
405907,97300,1016164,CE        ,AZ              ,XSMALL
305100,35026,626334,CE        ,LV              ,SMALL
150653,13818,670568,CE        ,LT              ,SMALL
697480,209852,3533442,CE        ,UZ              ,LARGE
68880,24048,165077,CE        ,BY              ,XSMALL
112455,12522,272708,CE        ,BA              ,XSMALL
87824,28093,153419,CE        ,EE              ,XSMALL
38580,17834,64933,CE        ,KG              ,XSMALL
3845983,184260,23485651,EA        ,SA              ,XLARGE
1072903,77663,44189001,EA        ,ZA              ,LARGE
792083,57726,9131436,EA        ,TR              ,LARGE
832434,63560,20593657,EA        ,AE              ,LARGE
478389,60047,7892985,EA        ,EG              ,MEDIUM
907588,179339,12479465,EA        ,KE              ,MEDIUM
766000,71201,6885912,EA        ,KW              ,MEDIUM
324048,35661,1208561,EA        ,MA              ,SMALL
1706818,261652,20718879,EA        ,NG              ,XLARGE
543485,60442,4812799,EA        ,OM              ,MEDIUM
469117,42897,7347196,EA        ,PK              ,MEDIUM
2039000,113000,17934786,EA        ,QA              ,XLARGE
1293775,121908,8821530,EA        ,DZ              ,LARGE
540185,119852,1840000,EA        ,AO              ,MEDIUM
119709,19931,866804,EA        ,BH              ,SMALL
465843,50458,5654473,EA        ,JO              ,MEDIUM
218821,61616,1581021,EA        ,TN              ,SMALL
296913,79541,541760,EA        ,BW              ,MEDIUM
92200,44527,267705,EA        ,BF              ,XSMALL
192038,63461,1523059,EA        ,ET              ,SMALL
49980,22684,119642,EA        ,ML              ,XSMALL
75706,21647,520981,EA        ,TZ              ,XSMALL
137490,43797,1070990,EA        ,ZW              ,SMALL
1121886,52601,35974908,EP        ,IT              ,XLARGE
218658,38118,1594923,EP        ,GR              ,MEDIUM
4946683,65175,117059545,GC,CN              ,XLARGE
901772,49120,4097594,LA        ,AR              ,MEDIUM
1822567,82280,27202219,LA        ,BR              ,XLARGE
234676,43418,822120,LA        ,CL              ,MEDIUM
749399,41303,5555170,LA        ,CO              ,LARGE
523897,48441,2715441,LA        ,MX              ,LARGE
182827,28711,539307,LA        ,EC              ,LARGE
146433,23140,418522,LA        ,PE              ,MEDIUM
154960,33289,988035,LA        ,UY              ,MEDIUM
182158,36182,488439,LA        ,CR              ,MEDIUM
237508,38116,276096,LA        ,SV              ,MEDIUM
42804,6151,115075,LA        ,GT              ,SMALL
45957,14869,89214,LA        ,PA              ,SMALL
